state,year,race,pop
Delaware (10),2018,Not Hispanic or Latino,874335
Delaware (10),2019,Hispanic or Latino,93391
Delaware (10),2019,Not Hispanic or Latino,880373
District of Columbia (11),1990,Hispanic or Latino,32878
District of Columbia (11),1990,Not Hispanic or Latino,572443
District of Columbia (11),1991,Hispanic or Latino,34072
District of Columbia (11),1991,Not Hispanic or Latino,566798
District of Columbia (11),1992,Hispanic or Latino,35490
District of Columbia (11),1992,Not Hispanic or Latino,562077
District of Columbia (11),1993,Hispanic or Latino,37673
District of Columbia (11),1993,Not Hispanic or Latino,557629
District of Columbia (11),1994,Hispanic or Latino,39597
District of Columbia (11),1994,Not Hispanic or Latino,549643
District of Columbia (11),1995,Hispanic or Latino,40777
District of Columbia (11),1995,Not Hispanic or Latino,539742
District of Columbia (11),1996,Hispanic or Latino,41672
District of Columbia (11),1996,Not Hispanic or Latino,530707
District of Columbia (11),1997,Hispanic or Latino,42641
District of Columbia (11),1997,Not Hispanic or Latino,525098
District of Columbia (11),1998,Hispanic or Latino,43498
District of Columbia (11),1998,Not Hispanic or Latino,521734
District of Columbia (11),1999,Hispanic or Latino,44357
District of Columbia (11),1999,Not Hispanic or Latino,525863
District of Columbia (11),2000,Hispanic or Latino,45266
District of Columbia (11),2000,Not Hispanic or Latino,526780
District of Columbia (11),2001,Hispanic or Latino,46817
District of Columbia (11),2001,Not Hispanic or Latino,527687
District of Columbia (11),2002,Hispanic or Latino,47054
District of Columbia (11),2002,Not Hispanic or Latino,526104
District of Columbia (11),2003,Hispanic or Latino,47580
District of Columbia (11),2003,Not Hispanic or Latino,520922
District of Columbia (11),2004,Hispanic or Latino,48243
District of Columbia (11),2004,Not Hispanic or Latino,519511
District of Columbia (11),2005,Hispanic or Latino,48584
District of Columbia (11),2005,Not Hispanic or Latino,518552
District of Columbia (11),2006,Hispanic or Latino,48522
District of Columbia (11),2006,Not Hispanic or Latino,522159
District of Columbia (11),2007,Hispanic or Latino,48982
District of Columbia (11),2007,Not Hispanic or Latino,525422
District of Columbia (11),2008,Hispanic or Latino,50446
District of Columbia (11),2008,Not Hispanic or Latino,529790
District of Columbia (11),2009,Hispanic or Latino,53621
District of Columbia (11),2009,Not Hispanic or Latino,538607
District of Columbia (11),2010,Hispanic or Latino,55847
District of Columbia (11),2010,Not Hispanic or Latino,549379
District of Columbia (11),2011,Hispanic or Latino,59749
District of Columbia (11),2011,Not Hispanic or Latino,560051
District of Columbia (11),2012,Hispanic or Latino,63080
District of Columbia (11),2012,Not Hispanic or Latino,571844
District of Columbia (11),2013,Hispanic or Latino,66764
District of Columbia (11),2013,Not Hispanic or Latino,583817
District of Columbia (11),2014,Hispanic or Latino,69541
District of Columbia (11),2014,Not Hispanic or Latino,592787
District of Columbia (11),2015,Hispanic or Latino,72581
